asset,scenario_name,target_qty,horizon_steps,max_child_qty,pov_cap,side,policy_name,day_name,day_path,start_idx,steps_used,episode_return,filled_total,exec_vwap,arrival_mid,cost_cash_vs_mid,remaining_qty,completion,completion_100pct,terminated_at_horizon,env_cost_bps,true_is_bps,run_name,ckpt,episode_id
BTC,btc_q25,25.0,4320,0.25,0.05,buy,TWAP,2026-01-21_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_BTC/January/2026-01-21_steps_5s.parquet,4407,4320,-6.868755142856483e-07,25.000000000000025,89356.47317643564,89826.95,1.5424983119490276,0.0,1.0000000000000009,1.0,1.0,0.00686875514285647,-52.3759098538197,TWAP,,0
BTC,btc_q25,25.0,4320,0.25,0.05,buy,TWAP,2026-01-08_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_BTC/January/2026-01-08_steps_5s.parquet,10297,4320,-7.595734068526353e-07,24.999999999999993,90758.73190402429,89861.55,1.7064110919639675,0.0,0.9999999999999997,1.0,1.0,0.007595734068526383,99.84046614200228,TWAP,,1
BTC,btc_q25,25.0,4320,0.25,0.05,buy,TWAP,2026-01-18_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_BTC/January/2026-01-18_steps_5s.parquet,856,4320,-6.880698602846931e-07,24.99999999999994,95089.92929353235,94888.95,1.6322556642265356,0.0,0.9999999999999976,1.0,1.0,0.006880698602846951,21.180473967975132,TWAP,,2
BTC,btc_q25,25.0,4320,0.25,0.05,buy,TWAP,2026-01-10_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_BTC/January/2026-01-10_steps_5s.parquet,3263,4320,-6.750832003363414e-07,25.000000000000203,90617.84705601967,90539.05,1.528034790735305,0.0,1.000000000000008,1.0,1.0,0.006750832003363432,8.703101702488592,TWAP,,3
BTC,btc_q25,25.0,4320,0.25,0.05,buy,TWAP,2026-01-28_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_BTC/January/2026-01-28_steps_5s.parquet,9699,4320,-9.200525736877996e-07,25.000000000000092,89703.50044116408,90150.55,2.073581138671769,0.0,1.0000000000000038,1.0,1.0,0.009200525736878008,-49.58922145632157,TWAP,,4
BTC,btc_q25,25.0,4320,0.25,0.05,buy,TWAP,2026-01-12_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_BTC/January/2026-01-12_steps_5s.parquet,5349,4320,-7.501624526423834e-07,24.999999999999932,90850.96399634442,91772.55,1.7211080298311396,0.0,0.9999999999999973,1.0,1.0,0.007501624526423815,-100.4206599528489,TWAP,,5
BTC,btc_q25,25.0,4320,0.25,0.05,buy,TWAP,2026-01-20_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_BTC/January/2026-01-20_steps_5s.parquet,9376,4320,-8.011752130169752e-07,24.99999999999993,90423.58992137156,91285.95,1.82840101091768,0.0,0.9999999999999971,1.0,1.0,0.00801175213016978,-94.46799629389155,TWAP,,6
BTC,btc_q25,25.0,4320,0.25,0.05,buy,TWAP,2026-01-27_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_BTC/January/2026-01-27_steps_5s.parquet,668,4320,-6.682041973691205e-07,25.00000000000001,88586.46931707572,88333.75,1.4756245629838716,0.0,1.0000000000000004,1.0,1.0,0.00668204197369124,28.60959905763354,TWAP,,7
BTC,btc_q25,25.0,4320,0.25,0.05,buy,TWAP,2026-01-11_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_BTC/January/2026-01-11_steps_5s.parquet,10543,4320,-6.828058037514664e-07,24.99999999999989,90909.2978043514,91032.25,1.5539337157138637,0.0,0.9999999999999956,1.0,1.0,0.006828058037514678,-13.506443666788277,TWAP,,8
BTC,btc_q25,25.0,4320,0.25,0.05,buy,TWAP,2026-01-19_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_BTC/January/2026-01-19_steps_5s.parquet,4001,4320,-5.970351107494461e-07,24.99999999999991,92858.92815718162,92689.45,1.383471401151375,0.0,0.9999999999999964,1.0,1.0,0.005970351107494434,18.284514276611574,TWAP,,9
