asset,scenario_name,target_qty,horizon_steps,max_child_qty,pov_cap,side,policy_name,day_name,day_path,start_idx,steps_used,episode_return,filled_total,exec_vwap,arrival_mid,cost_cash_vs_mid,remaining_qty,completion,completion_100pct,terminated_at_horizon,is_bps,run_name,ckpt,episode_id,true_is_bps
BTC,btc_q10,10.0,4320,0.25,0.05,buy,TWAP,2026-01-17_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_BTC/January/2026-01-17_steps_5s.parquet,4382,4320,-7.307007477897732e-07,9.253580422864356,95234.1707563828,95243.95,0.695948254874518,0.7464195771356796,0.9253580422864356,0.0,1.0,0.0073070074778977,TWAP,,0,-1.0267574598913796
BTC,btc_q10,10.0,4320,0.25,0.05,buy,TWAP,2026-01-17_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_BTC/January/2026-01-17_steps_5s.parquet,745,4320,-6.144461353903308e-07,9.512356465815952,95293.66311082942,95496.55,0.5867748609060959,0.4876435341840731,0.9512356465815952,0.0,1.0,0.0061444613539033,TWAP,,1,-21.245467943143368
BTC,btc_q10,10.0,4320,0.25,0.05,buy,TWAP,2026-01-13_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_BTC/January/2026-01-13_steps_5s.parquet,1052,4320,-5.778103880670822e-07,10.00000000000001,91683.36909722352,91305.65,0.5275735305921729,0.0,1.000000000000001,1.0,1.0,0.0057781038806708,TWAP,,2,41.36864446214728
BTC,btc_q10,10.0,4320,0.25,0.05,buy,TWAP,2026-01-23_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_BTC/January/2026-01-23_steps_5s.parquet,1350,4320,-5.915627999013963e-07,10.000000000000004,89724.37459368903,89830.65,0.5314047083096215,0.0,1.0000000000000004,1.0,1.0,0.0059156279990139,TWAP,,3,-11.830639799551772
BTC,btc_q10,10.0,4320,0.25,0.05,buy,TWAP,2026-01-18_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_BTC/January/2026-01-18_steps_5s.parquet,1398,4320,-7.183913665554789e-07,8.511099654398752,95096.0520818492,94935.95,0.6820116685574277,1.4889003456012555,0.8511099654398752,0.0,1.0,0.0071839136655548,TWAP,,4,16.864220756119902
BTC,btc_q10,10.0,4320,0.25,0.05,buy,TWAP,2026-01-20_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_BTC/January/2026-01-20_steps_5s.parquet,12107,4320,-7.994017990896836e-07,10.000000000000036,89579.08285847184,90061.85,0.7199560491934516,0.0,1.0000000000000038,1.0,1.0,0.0079940179908968,TWAP,,5,-53.603955673591614
BTC,btc_q10,10.0,4320,0.25,0.05,buy,TWAP,2026-01-11_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_BTC/January/2026-01-11_steps_5s.parquet,7696,4320,-7.112417511152289e-07,10.00000000000004,90962.06656661395,90734.95,0.6453448472535266,0.0,1.000000000000004,1.0,1.0,0.0071124175111522,TWAP,,6,25.03077001904523
BTC,btc_q10,10.0,4320,0.25,0.05,buy,TWAP,2026-01-17_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_BTC/January/2026-01-17_steps_5s.parquet,2505,4320,-7.164518723630076e-07,9.156323047882363,95233.4567961202,95302.55,0.6827969038846908,0.8436769521175849,0.9156323047882364,0.0,1.0,0.00716451872363,TWAP,,7,-7.249879869930607
BTC,btc_q10,10.0,4320,0.25,0.05,buy,TWAP,2026-01-31_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_BTC/January/2026-01-31_steps_5s.parquet,4432,4320,-1.045878204219873e-06,10.0,83199.59266119229,83999.05,0.8785277557017525,0.0,1.0,1.0,1.0,0.0104587820421987,TWAP,,8,-95.17456909425897
BTC,btc_q10,10.0,4320,0.25,0.05,buy,TWAP,2026-01-15_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_BTC/January/2026-01-15_steps_5s.parquet,172,4320,-5.354468070751283e-07,9.999999999999972,96362.2607194354,96930.05,0.5190088578213259,0.0,0.9999999999999972,1.0,1.0,0.0053544680707512,TWAP,,9,-58.57721940353863
BTC,btc_q10,10.0,4320,0.25,0.05,buy,BTC_PPO_1,2026-01-17_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_BTC/January/2026-01-17_steps_5s.parquet,4382,196,-9.543671802939953e-07,9.999999999999265,95253.31974260532,95243.95,0.908977000015624,7.405554302759815e-13,0.9999999999999264,1.0,0.0,0.0095436718029399,BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2/best.weights.h5,0,0.9837624967597294
BTC,btc_q10,10.0,4320,0.25,0.05,buy,BTC_PPO_1,2026-01-17_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_BTC/January/2026-01-17_steps_5s.parquet,745,213,-1.6537077203600568e-06,9.999999999999329,95488.30826438034,95496.55,1.5792338200275016,6.710726066144963e-13,0.9999999999999328,1.0,0.0,0.0165370772036005,BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2/best.weights.h5,1,-0.863040143300198
BTC,btc_q10,10.0,4320,0.25,0.05,buy,BTC_PPO_1,2026-01-13_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_BTC/January/2026-01-13_steps_5s.parquet,1052,292,-4.883058887350061e-06,9.99999999999906,91203.57815928748,91305.65,4.458508656977742,9.373967154474002e-13,0.999999999999906,1.0,0.0,0.0488305888735006,BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2/best.weights.h5,2,-11.179137404148548
BTC,btc_q10,10.0,4320,0.25,0.05,buy,BTC_PPO_1,2026-01-23_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_BTC/January/2026-01-23_steps_5s.parquet,1350,213,-8.830824723996202e-07,9.999999999999082,89885.60275628106,89830.65,0.7932787249926501,9.167727525134617e-13,0.9999999999999082,1.0,0.0,0.0088308247239962,BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2/best.weights.h5,3,6.117372665239428
BTC,btc_q10,10.0,4320,0.25,0.05,buy,BTC_PPO_1,2026-01-18_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_BTC/January/2026-01-18_steps_5s.parquet,1398,224,-1.6829947994635736e-06,9.999999999999249,94989.79436333184,94935.95,1.5977671013213377,7.543357112961389e-13,0.9999999999999248,1.0,0.0,0.0168299479946357,BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2/best.weights.h5,4,5.671651606355485
BTC,btc_q10,10.0,4320,0.25,0.05,buy,BTC_PPO_1,2026-01-20_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_BTC/January/2026-01-20_steps_5s.parquet,12107,273,-1.332978797352387e-06,9.999999999999057,90163.57988510292,90061.85,1.2005053650033108,9.38884012809042e-13,0.9999999999999056,1.0,0.0,0.0133297879735238,BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2/best.weights.h5,5,11.295558008515155
