asset,scenario_name,target_qty,horizon_steps,max_child_qty,pov_cap,side,policy_name,day_name,day_path,start_idx,steps_used,episode_return,filled_total,exec_vwap,arrival_mid,cost_cash_vs_mid,remaining_qty,completion,completion_100pct,terminated_at_horizon,is_bps,run_name,ckpt,episode_id
DOGE,doge_q500000,500000.0,4320,3500.0,0.1,buy,TWAP,2026-01-17_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_DOGE/January/2026-01-17_steps_5s.parquet,4382,4320,-4.070603291511914e-05,500000.0000000014,0.1374868213223457,0.137525,2.7990485883258747,0.0,1.0000000000000029,1.0,1.0,0.4070603291511906,TWAP,,0
DOGE,doge_q500000,500000.0,4320,3500.0,0.1,buy,TWAP,2026-01-17_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_DOGE/January/2026-01-17_steps_5s.parquet,745,4320,-3.932402248503561e-05,499999.99999999884,0.13767353025417445,0.13828000000000001,2.71886291461536,0.0,0.9999999999999977,1.0,1.0,0.39324022485035576,TWAP,,1
DOGE,doge_q500000,500000.0,4320,3500.0,0.1,buy,TWAP,2026-01-13_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_DOGE/January/2026-01-13_steps_5s.parquet,1052,4320,-4.4925333697530275e-05,499999.999999999,0.13792975098232862,0.136785,3.0725558849083434,0.0,0.999999999999998,1.0,1.0,0.44925333697530334,TWAP,,2
DOGE,doge_q500000,500000.0,4320,3500.0,0.1,buy,TWAP,2026-01-23_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_DOGE/January/2026-01-23_steps_5s.parquet,1350,4320,-5.348496539484024e-05,500000.0000000009,0.12538222211880173,0.125125,3.3461531475146895,0.0,1.0000000000000018,1.0,1.0,0.534849653948402,TWAP,,3
DOGE,doge_q500000,500000.0,4320,3500.0,0.1,buy,TWAP,2026-01-18_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_DOGE/January/2026-01-18_steps_5s.parquet,1398,4320,-4.1711395864275036e-05,500000.0000000004,0.13723264563529386,0.13699,2.857022059723525,0.0,1.0000000000000009,1.0,1.0,0.4171139586427513,TWAP,,4
DOGE,doge_q500000,500000.0,4320,3500.0,0.1,buy,TWAP,2026-01-20_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_DOGE/January/2026-01-20_steps_5s.parquet,12107,4320,-7.635282833910234e-05,499999.99999999773,0.12393710787412537,0.123665,4.72108625827754,0.0,0.9999999999999954,1.0,1.0,0.7635282833910225,TWAP,,5
DOGE,doge_q500000,500000.0,4320,3500.0,0.1,buy,TWAP,2026-01-11_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_DOGE/January/2026-01-11_steps_5s.parquet,7696,4320,-5.216149730788627e-05,499999.99999999924,0.13992045137013237,0.13997500000000002,3.6506527928357047,0.0,0.9999999999999984,1.0,1.0,0.5216149730788646,TWAP,,6
DOGE,doge_q500000,500000.0,4320,3500.0,0.1,buy,TWAP,2026-01-17_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_DOGE/January/2026-01-17_steps_5s.parquet,2505,4320,-3.9294449599721914e-05,499999.9999999993,0.13747941845273637,0.137735,2.7061105078088494,0.0,0.9999999999999986,1.0,1.0,0.3929444959972192,TWAP,,7
DOGE,doge_q500000,500000.0,4320,3500.0,0.1,buy,TWAP,2026-01-31_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_DOGE/January/2026-01-31_steps_5s.parquet,4432,4320,-6.766875309762944e-05,500000.00000000105,0.1123991967314873,0.114565,3.876235349314954,0.0,1.000000000000002,1.0,1.0,0.6766875309762937,TWAP,,8
DOGE,doge_q500000,500000.0,4320,3500.0,0.1,buy,TWAP,2026-01-15_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_DOGE/January/2026-01-15_steps_5s.parquet,172,4320,-5.795571612556974e-05,499999.99999999994,0.14419604986614737,0.14712,4.263222478196916,0.0,0.9999999999999999,1.0,1.0,0.5795571612556981,TWAP,,9
